eval_id,jd_category,jd_level,ai_content_relevance,ai_structure_clarity,ai_evidence_support,ai_expression_credibility,ai_weighted_total,golden_content_relevance,golden_structure_clarity,golden_evidence_support,golden_expression_credibility,golden_weighted_total,eval_mode,eval_error,eval_duration_ms,eval_timestamp
E001,AI产品经理,高级,1,1,0,2,0.9,2.0,2.0,1.0,2.0,1.75,mock,,0.0,2026-06-11T18:45:51.435039
E002,AI产品经理,高级,2,0,3,2,1.75,2.0,2.0,2.0,2.0,2.0,mock,,0.0,2026-06-11T18:45:51.435039
E003,Agent产品经理,中级,1,0,1,1,0.75,1.0,1.0,0.0,1.0,0.75,mock,,0.0,2026-06-11T18:45:51.435039
E004,AI产品运营,中级,1,3,1,2,1.65,2.0,3.0,1.0,1.0,1.85,mock,,0.0,2026-06-11T18:45:51.435039
E005,AI产品经理,专家,2,2,1,2,1.75,3.0,2.0,2.0,3.0,2.5,mock,,1.78,2026-06-11T18:45:51.436820
E006,AI产品经理,中级,1,1,2,2,1.4,2.0,1.0,0.0,2.0,1.25,mock,,0.0,2026-06-11T18:45:51.436820
E007,Agent产品经理,高级,1,2,2,2,1.65,2.0,3.0,2.0,2.0,2.25,mock,,0.0,2026-06-11T18:45:51.436820
E008,AI产品运营,初级,1,1,1,1,1.0,1.0,2.0,0.0,2.0,1.15,mock,,0.0,2026-06-11T18:45:51.436820
E009,AI产品经理,高级,1,3,2,2,1.9,2.0,2.0,1.0,2.0,1.75,mock,,0.0,2026-06-11T18:45:51.436820
E010,Agent产品经理,中级,1,1,0,3,1.05,2.0,2.0,1.0,2.0,1.75,mock,,0.0,2026-06-11T18:45:51.436820
